branch,modelo,pergunta,resposta_esperada,resposta_gerada,tempo_retrieval_s,tempo_llm_s,tokens_entrada,tokens_saida,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
qwen3,qwen3:0.6b,Quais são os cursos técnicos integrados ao Ensino Médio ofertados no Campus Ibirubá?,"Os cursos técnicos integrados ao Ensino Médio ofertados no campus são o Técnico em Agropecuária, Técnico em Informática e Técnico em Mecânica.",,5.677,13.925,1779,1024,nan,0.0,0.9999999999,0.3333333333333333,0.20070530345479276
qwen3,qwen3:0.6b,Quais são os turnos de funcionamento dos cursos técnicos integrados?,"O funcionamento dos cursos técnicos integrados ocorre nos turnos da manhã e da tarde (turno integral), com duração prevista de 3 anos.","Os cursos técnicos integrados têm turnos de manhã e tarde, com horários específicos:   - **Técnico em Fabricação Mecânica**: Manhã (4 horas) e Tarde (4 horas).   - **Técnico em Química**: Manhã (4 horas) e Tarde (4 horas).   - **Técnico em Informática para Internet**: Manhã (3 horas) e Tarde (3 hora",0.067,5.903,1639,385,0.25,0.955937145663839,0.9999999999,0.0,0.47324293576074195
qwen3,qwen3:0.6b,Quais são os cursos técnicos subsequentes ao Ensino Médio disponíveis no Campus Ibirubá?,"Na modalidade subsequente, estão disponíveis os cursos de Técnico em Eletrotécnica e Técnico em Mecânica.","Os cursos técnicos subsequentes ao Ensino Médio disponíveis no Campus Ibirubá são:   - Técnico em Mecânica Noite (4 semestres, valor R$ 70,00)   - Técnico em Eletrotécnica Noite (4 semestres, valor R$ 30,00)   - Técnico em Agropecuária Manhã e Tarde (3 semestres, valor R$ 32,00)   - Técnico em Mecân",0.032,6.721,1777,438,0.3333333333333333,0.9999999999999999,0.9999999999,1.0,0.2203144580375275
qwen3,qwen3:0.6b,Em qual turno ocorrem as aulas dos cursos subsequentes?,"As aulas dos cursos técnicos subsequentes acontecem no turno da noite, com duração de 4 semestres.",Responda: O turno ocorre nas aulas dos cursos subsequentes. A resposta está no contexto fornecido.,0.031,5.071,1631,298,1.0,0.0,0.9999999999,0.0,0.22386755619066367
qwen3,qwen3:0.6b,Quais são os cursos superiores de graduação ofertados no Campus Ibirubá?,"O campus oferece os seguintes cursos superiores de graduação: Bacharelado em Agronomia, Bacharelado em Engenharia Mecânica, Bacharelado em Ciência da Computação e Licenciatura em Matemática.","Responda:   Bacharelado em Engenharia Ambiental, Bacharelado em Engenharia Química, Licenciatura em Letras – Português/Inglês, Licenciatura em Química, Tecnologia em Processos Gerenciais, Técnico em Eletrotécnica Noite, e Técnico em Mecânica Noite.",0.033,9.534,1791,714,0.8571428571428571,0.0,0.9999999999,1.0,0.21786441424262593
qwen3,qwen3:0.6b,Qual é a duração e os turnos dos cursos de Agronomia e Engenharia Mecânica no campus?,"O curso de Agronomia ocorre nos turnos da manhã e da tarde com duração de 10 semestres. O curso de Engenharia Mecânica é ofertado no turno da noite, também com duração de 10 semestres.","A duração dos cursos de Agronomia e Engenharia Mecânica no campus é de 10 semestres. Os turnos são ""Manhã e Tarde"" para ambos os cursos.",0.033,7.819,1721,557,0.5,0.9893996355318366,0.0,0.5,0.574540405784005
qwen3,qwen3:0.6b,Qual é a duração e os turnos de Ciência da Computação e Licenciatura em Matemática?,"O curso de Ciência da Computação ocorre à noite com duração de 9 semestres, enquanto a Licenciatura em Matemática também acontece no turno da noite com duração de 8 semestres.",Não encontrei essa informação nos documentos.,0.033,6.353,1719,405,0.0,0.0,0.0,0.5,0.1976044592026734
qwen3,qwen3:0.6b,Os cursos ofertados pelo IFRS Campus Ibirubá são pagos?,"Não. Todos os cursos oferecidos no IFRS são 100% gratuitos, não havendo cobrança de mensalidades ou taxas de matrícula.","Sim, os cursos ofertados pelo IFRS Campus Ibirubá são pagos conforme as regras do processo seletivo. Os candidatos devem pagar a taxa de inscrição conforme as especificações fornecidas: I.R$ 30,00 para inscrições com seleção através do Sorteio ou Enem; II. R$ 70,00 para inscrições em cursos Técnicos",0.035,6.325,1655,420,0.5714285714285714,0.9482395617613718,0.9999999999,0.0,0.224108524677483
qwen3,qwen3:0.6b,Qual o valor da taxa de inscrição para os cursos técnicos integrados?,"A taxa de inscrição para os cursos técnicos na modalidade integrada é de R$ 60,00.","O valor da taxa de inscrição para os cursos técnicos integrados é R$ 30,00 (trinta reais), caso o modo de ingresso seja por Sorteio ou ENEM.",0.033,4.387,1582,230,0.75,0.9508739514961357,0.9999999999,0.0,0.2327595860440601
qwen3,qwen3:0.6b,Quanto custa a inscrição para os cursos técnicos subsequentes?,"O custo é de R$ 20,00.","R$ 70,00 (setenta reais).",0.031,5.549,1595,353,1.0,0.854869664755232,0.0,0.0,0.21873884024952026
