branch,modelo,pergunta,resposta_esperada,resposta_gerada,tempo_retrieval_s,tempo_llm_s,tokens_entrada,tokens_saida,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
llama3,llama3,Quais são os cursos técnicos integrados ao Ensino Médio ofertados no Campus Ibirubá?,"Os cursos técnicos integrados ao Ensino Médio ofertados no campus são o Técnico em Agropecuária, Técnico em Informática e Técnico em Mecânica.","Técnico em Agropecuária (Manhã e Tarde) e Técnico em Mecânica (Noite), Técnico em Eletrotécnica (Noite).",5.561,24.231,1710,47,1.0,0.0,0.9999999999,0.25,0.5998238776460014
llama3,llama3,Quais são os turnos de funcionamento dos cursos técnicos integrados?,"O funcionamento dos cursos técnicos integrados ocorre nos turnos da manhã e da tarde (turno integral), com duração prevista de 3 anos.","De acordo com a tabela, os turnos de funcionamento dos cursos técnicos integrados são:  * Manhã e Tarde (para o curso Técnico em Administração) * Noite (para os cursos Técnico em Cuidados de Idosos, Técnico em Tradução e Interpretação de Libras, Técnico em Fabricação Mecânica, Técnico em Geoprocessa",0.073,24.583,1630,142,0.42857142857142855,0.9786452753146245,0.9999999999,1.0,0.2247171575273167
llama3,llama3,Quais são os cursos técnicos subsequentes ao Ensino Médio disponíveis no Campus Ibirubá?,"Na modalidade subsequente, estão disponíveis os cursos de Técnico em Eletrotécnica e Técnico em Mecânica.","Técnico em Processos Gerenciais (Noite) e Bacharelado em Engenharia Ambiental (Manhã, Tarde e Noite), Bacharelado em Engenharia Química (Manhã, Tarde e Noite).",0.036,22.391,1709,57,1.0,0.0,0.9999999999,1.0,0.21844742707650827
llama3,llama3,Em qual turno ocorrem as aulas dos cursos subsequentes?,"As aulas dos cursos técnicos subsequentes acontecem no turno da noite, com duração de 4 semestres.",A resposta está na tabela. Os turnos oferecidos para os cursos subsequentes são:  * Manhã * Tarde * Noite,0.036,20.423,1616,32,1.0,0.9556771127816842,0.9999999999,0.0,0.43634463391537726
llama3,llama3,Quais são os cursos superiores de graduação ofertados no Campus Ibirubá?,"O campus oferece os seguintes cursos superiores de graduação: Bacharelado em Agronomia, Bacharelado em Engenharia Mecânica, Bacharelado em Ciência da Computação e Licenciatura em Matemática.","Segundo o contexto fornecido, os cursos superiores de graduação ofertados no Campus Ibirubá são:  * Bacharelado em Engenharia Ambiental (Noite) * Bacharelado em Engenharia Química (Noite) * Licenciatura em Letras – Português/Inglês (Noite) * Licenciatura em Química (Noite) * Tecnologia em Análise e ",0.037,25.372,1710,128,0.5714285714285714,0.0,0.9999999999,1.0,0.22241897364416557
llama3,llama3,Qual é a duração e os turnos dos cursos de Agronomia e Engenharia Mecânica no campus?,"O curso de Agronomia ocorre nos turnos da manhã e da tarde com duração de 10 semestres. O curso de Engenharia Mecânica é ofertado no turno da noite, também com duração de 10 semestres.",Não encontrei essa informação nos documentos.,0.036,20.74,1689,11,0.5,0.0,0.9999999999,0.5,0.19030171219474346
llama3,llama3,Qual é a duração e os turnos de Ciência da Computação e Licenciatura em Matemática?,"O curso de Ciência da Computação ocorre à noite com duração de 9 semestres, enquanto a Licenciatura em Matemática também acontece no turno da noite com duração de 8 semestres.",Não encontrei essa informação nos documentos.,0.042,20.59,1693,11,0.5,0.0,0.0,0.5,0.1976044592026734
llama3,llama3,Os cursos ofertados pelo IFRS Campus Ibirubá são pagos?,"Não. Todos os cursos oferecidos no IFRS são 100% gratuitos, não havendo cobrança de mensalidades ou taxas de matrícula.",Não encontrei essa informação nos documentos.,0.036,19.419,1605,11,1.0,0.0,0.0,0.0,0.19389813443364445
llama3,llama3,Qual o valor da taxa de inscrição para os cursos técnicos integrados?,"A taxa de inscrição para os cursos técnicos na modalidade integrada é de R$ 60,00.",Não encontrei essa informação nos documentos.,0.038,19.332,1578,11,0.0,0.0,0.9999999999,0.0,0.20432382144666433
llama3,llama3,Quanto custa a inscrição para os cursos técnicos subsequentes?,"O custo é de R$ 20,00.",Não encontrei essa informação nos documentos.,0.037,19.313,1559,11,0.0,0.0,0.0,0.0,0.20454030250601962
